clustering_method,metric,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10
histogram_K=3,ARI,0.016105483558224436,0.04602273155420101,0.04553984184368647,0.049310366144226,0.04994206656339339,0.05268129900651749,0.05196147738988324,0.05090562164735459,0.0511345879521209
histogram_K=3,HOMOGENEITY,0.024072886380247578,0.07063708731750508,0.0746642199571028,0.08234406012995084,0.08487340289704694,0.09126601091170743,0.09541714221382652,0.09696180594707042,0.09707683035525871
histogram_K=3,COMPLETENESS,0.07822527749765805,0.15165141165870136,0.13597469544252616,0.13376378768759378,0.1266148353078538,0.1282663741720724,0.12691915617505975,0.1236075573750901,0.11904498486271924
histogram_K=3,V_MEASURE,0.0368160707070359,0.09638118082128236,0.09639666582843333,0.10193663476632875,0.10162486595982906,0.10664814032176644,0.10893644683453882,0.10867521954342704,0.10694440807381499
histogram_K=3,FOWLKES_MALLOWS,0.25710619521311356,0.2504191992480908,0.2349291368715628,0.22760531637214682,0.21964112153510135,0.2167244005907835,0.21103750717007502,0.2070237467163807,0.20309140916226476
histogram_K=4,NMI,0.02118491192724064,0.08540396507288041,0.09195552493555952,0.09611656257269172,0.09844517302679427,0.1014107841620221,0.10955305393488524,0.10869998271791,0.11156432323775661
histogram_K=4,AMI,0.021142035694748793,0.08533242652092514,0.09185822628574239,0.09599516370548318,0.0982999792439978,0.10124381795356988,0.10936360199470518,0.10848848884992524,0.11133042261864887
histogram_K=4,ARI,0.008114624298902903,0.04161372440354333,0.03996945152527774,0.04828732514742894,0.049735758586123176,0.05481906338744386,0.05636074493952873,0.05365765362817401,0.05368639869043853
histogram_K=4,HOMOGENEITY,0.013757793286886602,0.062127700235146396,0.07325069891153864,0.08145168370548356,0.08697503631494202,0.09319313516418949,0.10259386146273017,0.1043201245559223,0.10858430886665994
histogram_K=4,COMPLETENESS,0.046038954040311046,0.13657029364979958,0.12348883817841642,0.11722159597972716,0.11340022361523415,0.11121782695089168,0.11752506655637909,0.11346373334309195,0.11471252178534651
histogram_K=4,V_MEASURE,0.021184911927240636,0.08540396507288041,0.09195552493555952,0.09611656257269173,0.09844517302679427,0.10141078416202208,0.10955305393488524,0.10869998271790998,0.1115643232377566
histogram_K=4,FOWLKES_MALLOWS,0.25359807170891696,0.24928222229825256,0.21536333196028248,0.20220491954883782,0.19160630350399813,0.18424955941469617,0.18235116075372598,0.1747006952939751,0.1721894078609634
histogram_K=5,NMI,0.02705314308306071,0.06975416174820866,0.09967822284208892,0.10437796426767416,0.10295386061474007,0.1020184347374246,0.1056024487176497,0.1062303278046841,0.10824421917760178
histogram_K=5,AMI,0.027007480914454235,0.06968175338936947,0.09958050805485764,0.10425539537530919,0.10281070677093682,0.10184993355796468,0.10540986101829682,0.10601637432439884,0.10800959719181207
histogram_K=5,ARI,-0.00568740001548332,0.02901856424857481,0.042976009028293266,0.04951644628161859,0.0542502249335234,0.053018406235080584,0.05188017587015613,0.053158548830316545,0.05478050970842642
histogram_K=5,HOMOGENEITY,0.01639978944014394,0.05099078921725537,0.07839361888050843,0.08681081727687491,0.09179035717029367,0.09284758170555821,0.09773027371284065,0.10106984110920769,0.10542183899609828
histogram_K=5,COMPLETENESS,0.07720713602514521,0.11036626960674238,0.1368284258319299,0.13085869576724854,0.11720873631037015,0.1131995132325753,0.11485393488522216,0.11194614350006826,0.11122187951323044
histogram_K=5,V_MEASURE,0.027053143083060713,0.06975416174820864,0.09967822284208891,0.10437796426767416,0.10295386061474006,0.1020184347374246,0.10560244871764972,0.1062303278046841,0.10824421917760177
histogram_K=5,FOWLKES_MALLOWS,0.2774309408657543,0.23458319782540768,0.227006224967112,0.21591993670246418,0.19046209729246,0.18513701901906904,0.1818158408929351,0.1761476269076075,0.1718561415832423
histogram_K=6,NMI,0.027288112877396374,0.07053913231949037,0.12026968955607761,0.13420688578438422,0.13157248549626904,0.13051149343519294,0.14579856391130036,0.14492157436918443,0.14686505953244403
histogram_K=6,AMI,0.02724240193250123,0.070466794412454,0.1201747342002881,0.13408640877295297,0.1314285797061933,0.13034884365148308,0.1456154063906644,0.14471645503666436,0.14663828916114321
histogram_K=6,ARI,-0.0056676193657687664,0.029386836496794126,0.05657566651821655,0.0556227118414347,0.05812674623965622,0.06342869650526824,0.06653294093052604,0.06608617811332868,0.0628237741666374
histogram_K=6,HOMOGENEITY,0.016520638657206054,0.05157131949082819,0.09510943757687786,0.10978170908721359,0.11298097270054536,0.11913358443726474,0.13548070507377966,0.13758739072668727,0.14158256797309424
histogram_K=6,COMPLETENESS,0.07835984133948441,0.11157683641666799,0.16352988863967471,0.17261082286422474,0.15748778949457168,0.14429218655817666,0.15781753796299655,0.15308169160527213,0.15255701112745645
histogram_K=6,V_MEASURE,0.027288112877396374,0.07053913231949037,0.1202696895560776,0.1342068857843842,0.13157248549626901,0.13051149343519294,0.14579856391130036,0.1449215743691844,0.146865059532444
histogram_K=6,FOWLKES_MALLOWS,0.2780564729298229,0.2346491260028059,0.23640702673887543,0.23026218781018784,0.21733928365320665,0.19578633659074962,0.1958822453017135,0.18986893580519693,0.18395181414729372
histogram_K=7,NMI,0.04015705727893173,0.10066157121017391,0.11704864206554716,0.12937374493617843,0.1493471471486403,0.148528146271451,0.144163122188102,0.14899904763761834,0.14832694068616648
histogram_K=7,AMI,0.04011195236560183,0.10059067806857264,0.1169532766798456,0.12925367625175702,0.14920467355135233,0.14836483233299516,0.14398227435182756,0.1487969345817741,0.14810390059022968
histogram_K=7,ARI,0.00481385147718235,0.04402935437279502,0.054687054612081495,0.05420014502199322,0.05613114721315635,0.062181897482328614,0.06508829457943156,0.06261495233265361,0.06535173652784432
histogram_K=7,HOMOGENEITY,0.02431238022407544,0.07266100813418071,0.09250191017968083,0.10677622314166701,0.12688474050278603,0.13223693514251636,0.13591965677996465,0.14286345806729334,0.14512114993932387
histogram_K=7,COMPLETENESS,0.11529852024033511,0.16377291437584915,0.1593288877587476,0.16410374164610794,0.18147338132424534,0.16939742291001042,0.15347107301368512,0.1556852997727784,0.15167756557035714
histogram_K=7,V_MEASURE,0.04015705727893173,0.10066157121017391,0.11704864206554713,0.12937374493617843,0.14934714714864034,0.148528146271451,0.14416312218810204,0.14899904763761837,0.14832694068616648
histogram_K=7,FOWLKES_MALLOWS,0.29011831058855325,0.258792727258758,0.23491163664356696,0.22546601429916194,0.22291737250760085,0.2123071399807241,0.18893599917601392,0.1841313959785081,0.18027160095958417
histogram_K=8,NMI,0.04534477901134594,0.058760480687965626,0.10670015852149778,0.12394852197292422,0.1358831527178199,0.1373585241187866,0.1423240663051194,0.1428327234991104,0.14682195911020243
histogram_K=8,AMI,0.045302637908593776,0.058688259504167596,0.10660311024353762,0.12382711642867955,0.1357402875628985,0.13719704105197117,0.14214134296223777,0.1426314896811291,0.1465996938326226
histogram_K=8,ARI,0.022579624836336205,0.027302962769468374,0.04403362221095524,0.053322512108118884,0.05116117643668338,0.05958693756890134,0.06064219336932442,0.06337082179235656,0.06360758476238965
histogram_K=8,HOMOGENEITY,0.029222009536115708,0.04357341304934545,0.08383772037517377,0.10181110348065478,0.11695117780348951,0.12529681317351354,0.1330999056382807,0.13853834980120988,0.1444003069649293
histogram_K=8,COMPLETENESS,0.10115591122261172,0.09019810965265762,0.14670695611605689,0.15838775122173923,0.16212838184341202,0.15198984233361598,0.1529219444826341,0.14740184539789886,0.14932622084379932
histogram_K=8,V_MEASURE,0.04534477901134594,0.058760480687965626,0.10670015852149778,0.12394852197292419,0.13588315271781984,0.1373585241187866,0.1423240663051194,0.14283272349911036,0.14682195911020243
histogram_K=8,FOWLKES_MALLOWS,0.2742014719352985,0.22436914665029115,0.223936749522396,0.22096020628261426,0.2071288721888498,0.19202992721905118,0.18795101564479022,0.1787287120585452,0.17663629949482693
histogram_K=9,NMI,0.037888133882826386,0.06622082320301222,0.1094309856495028,0.12258583639949082,0.13288363781421045,0.12816994092774506,0.13517322285690359,0.134039514059167,0.12933233373554018
histogram_K=9,AMI,0.03784584040333899,0.06614856289691017,0.10933084891513276,0.12246354626552637,0.13273809061704434,0.12800472639368618,0.13498801643055167,0.13383298874850277,0.1291050966581118
histogram_K=9,ARI,0.018335557974981067,0.02764635680759747,0.042520762488510506,0.04787641455898784,0.04633768585447363,0.048347725804536966,0.054048485447281,0.05498937588871015,0.05364187484407551
histogram_K=9,HOMOGENEITY,0.02451857762434889,0.04869075920863766,0.08308305163966699,0.10011937797480976,0.11265558371314041,0.11549533306051288,0.1257574284710423,0.12799103666223702,0.12696240916815849
histogram_K=9,COMPLETENESS,0.08332239406155231,0.10347465404750543,0.16025101579972437,0.15805223757125916,0.16196563779987067,0.14396932124306344,0.14611310076821893,0.14068801295870592,0.1317924169103704
histogram_K=9,V_MEASURE,0.03788813388282639,0.06622082320301223,0.1094309856495028,0.12258583639949082,0.13288363781421045,0.12816994092774503,0.13517322285690356,0.134039514059167,0.12933233373554018
histogram_K=9,FOWLKES_MALLOWS,0.26682617036773876,0.22977931862069978,0.24219362053842733,0.22038823966363624,0.21187117219448115,0.18929670517164235,0.18636684530765482,0.17873243923387624,0.1704037264649795
majority,NMI,0.06898651992863818,0.0964570843248756,0.09232996791012572,0.09792738978103549,0.12712976862852685,0.1388746436796985,0.1452742022723532,0.13494106919776763,0.13106782783370605
majority,AMI,0.06894581551729718,0.09638693396193472,0.09223272816563818,0.0978072603343484,0.12698921056469564,0.13871369750630294,0.14509039704720642,0.13473058764114731,0.1308603327486678
majority,ARI,0.03524730023681838,0.04603776129609226,0.04038683145044333,0.04891257834874969,0.05952506133953013,0.06264582746089259,0.06150497171387793,0.05205148001807575,0.05265638263768908
majority,HOMOGENEITY,0.044886510233735376,0.07069054061071968,0.0735630896031525,0.08369358093833347,0.11233142827017209,0.12687706669786517,0.13459983479522675,0.12634472118440776,0.12499309551564151
majority,COMPLETENESS,0.14896995898764778,0.15178087231104737,0.123951593399713,0.11799482888361348,0.1464187056049177,0.15337818328011282,0.15778745119173004,0.14479258867849798,0.13776319386625968
majority,V_MEASURE,0.06898651992863818,0.09645708432487561,0.09232996791012572,0.09792738978103548,0.12712976862852685,0.13887464367969848,0.14527420227235316,0.1349410691977676,0.13106782783370605
majority,FOWLKES_MALLOWS,0.2807541885278983,0.250457597795944,0.2157982969755414,0.1973251796971397,0.19916284704356496,0.19450201236604447,0.19469752110408753,0.18562227160519182,0.17852926997268606
meanNuclei,NMI,0.006469078874086421,0.010447434494495419,0.010502528885165334,0.013593899602855916,0.012672572581647995,0.02079463393005704,0.01986393286168536,0.018899879344864663,0.030209415621415363
meanNuclei,AMI,0.006423171930073936,0.010363794835537074,0.010384727361059897,0.013442013533340126,0.012492944297515397,0.020588974252623186,0.019633779409977403,0.018637476463715663,0.029921844634274556
meanNuclei,ARI,0.006010978223312488,0.009365719615947286,0.01158907986877525,0.011159023645651826,0.012407511763446377,0.021382575632635226,0.013785855470621744,0.009536004162575658,0.030268406038583485
meanNuclei,HOMOGENEITY,0.0039830780846059205,0.007034529180782553,0.007531953379737399,0.010052308074434135,0.00992025691448992,0.016925212683136313,0.016873093794109645,0.016202189298055895,0.026265495165483328
meanNuclei,COMPLETENESS,0.017211433487675818,0.020292770733065218,0.017342250546253227,0.02098848349104219,0.017538533232853218,0.02695766117693108,0.024143484534575814,0.022675363014858535,0.0355470109201947
meanNuclei,V_MEASURE,0.006469078874086423,0.010447434494495419,0.010502528885165334,0.013593899602855916,0.012672572581647997,0.02079463393005704,0.01986393286168536,0.018899879344864663,0.030209415621415363
meanNuclei,FOWLKES_MALLOWS,0.28316259010798706,0.2612850501553059,0.2482372074026587,0.2435407563781349,0.21705881136355265,0.21250484610129103,0.18605146638465872,0.1790166234931717,0.2011123568088221
